participant_id,study_id,participant_age,session_date,session_time,trial_number,condition,category,image_name,image_location,word,click_order,rt,id,typicality
15,borrowing_kids_pilot,5,07/21/2025,13:16:08,0,novel_word_condition,carrots,carrot_carrot_2_0.png,6,carrots,2,30392,2,0
15,borrowing_kids_pilot,5,07/21/2025,13:16:08,1,novel_word_condition,apples,apple_apple_6_0.png,7,apples,1,6030,6,0
15,borrowing_kids_pilot,5,07/21/2025,13:16:08,1,novel_word_condition,apples,apple_apple_3_0.png,6,apples,2,9963,3,0
15,borrowing_kids_pilot,5,07/21/2025,13:16:08,2,novel_word_condition,leaves,leaf_oak_2_1.png,2,nefts,1,10979,2,1
15,borrowing_kids_pilot,5,07/21/2025,13:16:08,2,novel_word_condition,leaves,leaf_oak_1_1.png,0,nefts,2,33927,1,1
15,borrowing_kids_pilot,5,07/21/2025,13:16:08,3,novel_word_condition,shells,shell_spiral_3_1.png,7,bines,1,6547,3,1
15,borrowing_kids_pilot,5,07/21/2025,13:16:08,3,novel_word_condition,shells,shell_spiral_2_1.png,2,bines,2,8747,2,1
15,borrowing_kids_pilot,5,07/21/2025,13:16:08,4,novel_word_condition,mushrooms,mushroom_toadstool_2_1.png,3,palts,1,4063,2,1
15,borrowing_kids_pilot,5,07/21/2025,13:16:08,4,novel_word_condition,mushrooms,mushroom_enoki_2_1.png,7,palts,2,6811,2,1
15,borrowing_kids_pilot,5,07/21/2025,13:16:08,5,novel_word_condition,flowers,flower_round_2_1.png,6,tinches,1,4361,2,1
