participant_id,study_id,participant_age,session_date,session_time,trial_number,condition,category,image_name,image_location,word,click_order,rt,id,typicality,experiment_date,date_of_birth,experimenter,notes,exclude,exclusion_reason,exact_age
20,exp_2_child,3,11/06/2025,08:31:40,3,novel_word_condition,leaves,leaf_droplet_1_1.png,3,leams,1,3679,1,1,11/6/2025,3/23/2022,CB,NA,FALSE,NA,43.50969438054551
20,exp_2_child,3,11/06/2025,08:31:40,3,novel_word_condition,leaves,leaf_droplet_3_1.png,6,leams,2,6513,3,1,11/6/2025,3/23/2022,CB,NA,FALSE,NA,43.50969438054551
20,exp_2_child,3,11/06/2025,08:31:40,4,novel_word_condition,mushrooms,mushroom_disc_1_2.png,11,datches,1,4331,1,2,11/6/2025,3/23/2022,CB,NA,FALSE,NA,43.50969438054551
20,exp_2_child,3,11/06/2025,08:31:40,4,novel_word_condition,mushrooms,mushroom_disc_3_2.png,10,datches,2,9196,3,2,11/6/2025,3/23/2022,CB,NA,FALSE,NA,43.50969438054551
20,exp_2_child,3,11/06/2025,08:31:40,5,novel_word_condition,flowers,flower_iris_1_2.png,7,palts,1,3929,1,2,11/6/2025,3/23/2022,CB,NA,FALSE,NA,43.50969438054551
20,exp_2_child,3,11/06/2025,08:31:40,5,novel_word_condition,flowers,flower_iris_3_2.png,11,palts,2,4845,3,2,11/6/2025,3/23/2022,CB,NA,FALSE,NA,43.50969438054551
20,exp_2_child,3,11/06/2025,08:31:40,6,novel_word_condition,cups,cup_twohandled_2_2.png,10,tinches,1,3481,2,2,11/6/2025,3/23/2022,CB,NA,FALSE,NA,43.50969438054551
20,exp_2_child,3,11/06/2025,08:31:40,6,novel_word_condition,cups,cup_twohandled_3_2.png,4,tinches,2,10197,3,2,11/6/2025,3/23/2022,CB,NA,FALSE,NA,43.50969438054551
20,exp_2_child,3,11/06/2025,08:31:40,7,novel_word_condition,spoons,spoon_slotted_3_2.png,7,serns,1,3180,3,2,11/6/2025,3/23/2022,CB,NA,FALSE,NA,43.50969438054551
20,exp_2_child,3,11/06/2025,08:31:40,7,novel_word_condition,spoons,spoon_slotted_1_2.png,1,serns,2,4863,1,2,11/6/2025,3/23/2022,CB,NA,FALSE,NA,43.50969438054551
